Data
"XL,63,31172.72"
"XXXL,65,52152.4"
"L,58,38167.64"
"XL,63,39175.26"
"M,54,23162.56"
"M,58,29167.64"
"XL,70,34170.18"
"M,58,30167.64"
"XXS,46,28152.4"
"S,58,28157.48"
"XXXL,79,51162.56"
"S,54,29165.1"
"M,61,32162.56"
"S,54,33154.94"
"M,58,26170.18"
"L,72,30177.8"
"L,58,46167.64"
"S,56,26165.1"
"M,62,52162.56"
"XXXL,61,38154.94"
"M,63,32172.72"
"M,61,31162.56"
"L,64,41162.56"
"XXS,50,30154.94"
"M,54,34162.56"
"S,56,23175.26"
"S,61,31175.26"
"XXS,52,39167.64"
"M,65,30175.26"
"L,65,38160.02"
"L,50,52160.02"
"S,53,28152.4"
"XL,68,46162.56"
"S,52,31157.48"
"XXXL,95,24175.26"
"XL,65,34177.8"
"S,58,32160.02"
"M,61,30160.02"
"XXXL,73,35167.64"
"M,59,36162.56"
"XXXL,74,46167.64"
"XXXL,90,31165.1"
"XXXL,70,45157.48"
"XL,65,53162.56"
"S,53,32165.1"
"L,58,33160.02"
"XXS,49,34160.02"
"S,50,28165.1"
"M,53,43167.64"
"M,54,27165.1"
"XXXL,77,36167.64"
"M,54,27157.48"
"XXXL,65,50172.72"
"L,65,26172.72"
"XL,68,37170.18"
"XXXL,78,29167.64"
"XXS,58,24180.34"
"L,58,31157.48"
"XXXL,68,30170.18"
"XXXL,70,46165.1"
"L,65,26175.26"
"XXS,48,40152.4"
"S,54,27157.48"
"M,55,27170.18"
"L,55,41157.48"
"XL,61,47160.02"
"M,61,30172.72"
"M,65,31175.26"
"M,60,28170.18"
"XL,58,35167.64"
"M,68,30162.56"
"XXXL,112,38175.26"
"XL,61,45162.56"
"S,54,34165.1"
"M,58,45172.72"
"XL,68,30167.64"
"M,58,31162.56"
"S,58,30170.18"
"L,79,27177.8"
"S,56,38170.18"
"S,49,39157.48"
"XXXL,69,40175.26"
"M,61,43167.64"
"XL,69,31172.72"
"XL,72,36175.26"
"L,61,37160.02"
"XXS,54,23167.64"
"XL,60,35170.18"
"XXS,50,48162.56"
"L,66,49162.56"
"L,58,50162.56"
"L,61,33162.56"
"XXS,52,29167.64"
"L,64,34175.26"
"S,54,51167.64"
"S,52,22154.94"
"XL,68,49180.34"
"S,56,32167.64"
"XL,70,34160.02"
"S,55,38162.56"
"XXXL,70,24162.56"
"XXXL,77,28160.02"
"M,56,39167.64"
"XL,72,40175.26"
"XXXL,83,50165.1"
"XL,68,29160.02"
"M,56,42165.1"
"XL,59,37154.94"
"XXXL,77,31175.26"
"XXXL,79,30177.8"
"L,77,34162.56"
"S,54,34165.1"
"M,61,33177.8"
"XL,63,33165.1"
"M,61,32157.48"
"XXS,46,31152.4"
"XXXL,81,30170.18"
"M,58,35162.56"
"S,52,30165.1"
"M,61,26170.18"
"XL,53,37170.18"
"L,61,51167.64"
"S,54,32165.1"
"S,58,33167.64"
"L,65,28165.1"
"XXXL,81,39180.34"
"XXS,54,30165.1"
"XXXL,74,36170.18"
"L,56,32165.1"
"XXS,52,28167.64"
"M,56,34180.34"
"XXXL,81,33162.56"
"M,63,29170.18"
"L,54,32160.02"
"L,61,34162.56"
"L,61,34165.1"
"L,65,37160.02"
"XXS,50,32162.56"
"S,58,35170.18"
"S,58,34175.26"
"M,52,47160.02"
"M,58,53160.02"
"XXXL,90,40170.18"
"M,70,23180.34"
"XL,65,29162.56"
"S,55,26162.56"
"XL,58,25167.64"
"S,70,36175.26"
